Group,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45
OVERALL,0.11027274223347322,0.1026925058036646,0.08317509083448099,0.0730035141329657,0.07014089220545343,0.06639761589693935,0.06398373332136491,0.06351183865649249,0.055259875150662455,0.021534331907438763,0.05408766715217374,0.10272074836703848,0.11824329587310577,0.1220406700743743,0.10047016563214674,0.07810509792145007,0.0675177079409405,0.0507436496482379,0.03888891177540726,0.017470995340005218,0.02165272937150248,0.05089823441513176,0.05186675649486786,0.0864363470646324,0.2008011721582356,0.14677655956170213,0.04769900377679752,0.014430678612269226,0.02366807483095473,0.026242888085157106,0.027135335779262866,0.026819743841009318,0.026287640698000405,0.029316280336908983,0.02787270676410304,0.029817266121523276,0.02459348261831986,0.022552121029508362,0.023199448578926272,0.02767140649094927,0.023210193040652534,0.025070805892077077,0.03150345968877366,0.03813784179742746,0.03025859455296734,0.04320502253371162
group_1,0.06226368511933044,0.08852461986955491,0.0427942780007078,0.02134654423394382,0.03078118981783524,0.024683419189366135,0.0259952383621159,0.02512481849444044,0.020990544200145317,0.00953131712419531,0.022967964879368627,0.0362980349182789,0.040495900161308544,0.04355218389250211,0.040876138259812476,0.03553107567033669,0.03225336582784124,0.029465803475491326,0.026723713766201793,0.015196478602343765,0.008949344079690313,0.01804133717485209,0.019948887948162002,0.05397779648718679,0.07650518604225941,0.04540016133301598,0.011384615639929633,0.012440993146075496,0.014992733625855743,0.021780128004006107,0.02195523074548675,0.018567471542591463,0.017941813456665935,0.01690089236445576,0.011226907697406113,0.011595563457522171,0.011758023902891214,0.00971831052631055,0.009083151371722312,0.013897993390245873,0.011075902022492177,0.015471535701795332,0.022785646169666343,0.023814430432565255,0.02233642549500089,0.03723379580083164
group_2,0.031039437680945366,0.05599416098178797,0.034879671689390296,0.025376774776747994,0.025193149052194448,0.02131424710493212,0.020878531296297857,0.020884458212172094,0.01970989897731723,0.01214933056012204,0.014297660860588653,0.036021328162585194,0.04279133834712236,0.04205842134565918,0.027351054783687555,0.01735975834026074,0.01409742121404478,0.008409093621034132,0.0075727932150065165,0.009147546736150697,0.01447777045600719,0.01947571224277745,0.018014865673494678,0.011889864000625987,0.07551762883525093,0.0773361525417206,0.035191485363999485,0.014602277263913204,0.018091249164933227,0.014478260763933274,0.015438008972422182,0.01875601214933763,0.01711424846268916,0.02030993193228413,0.023361081970898197,0.025281095340722804,0.01751958099120318,0.017678087575299237,0.01660100701548185,0.023156759758727528,0.016536706109872814,0.014103513230212604,0.035398730240356856,0.03758693493855301,0.02568076849353289,0.03378473691100018
