Group,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45
OVERALL,0.6546139427409802,-0.7958742006813313,0.33977608613296884,0.5060998689447059,0.4796883603049777,0.5549401724714004,0.5496272930062457,0.6051998132246459,0.6561907356707023,0.7731429041185406,0.7314211020966589,0.6555113707182949,0.6311797368895833,0.6493954538166916,0.7152087911929182,0.75861883728822,0.7720970819589698,0.8053207834287776,0.8257470111429346,0.8110453364060008,0.7840011474811882,0.6916474773951026,0.6388435860597468,0.8188496314318813,0.5520833140211829,0.25280620684317323,-0.22387056598273217,-0.4705026754974746,-0.5293264711190852,-0.5229028398888652,-0.5016864873095037,-0.47859775273133315,-0.4987472443038617,-0.4735966805037422,-0.49614296238507416,-0.529750601111461,-0.5146549084624764,-0.5176196899738046,-0.515719158160158,-0.47607267483208826,-0.48831553442965747,-0.4955144153843576,-0.4930852139135022,-0.43054641431291196,-0.552540197988908,-0.3838825651362477
group_1,0.5218395897304401,-0.052768438959643116,0.0758783670439293,-0.3601660932481052,-0.4739272478509663,-0.40052499178629053,-0.4186812924757464,-0.4003328037510975,-0.3787861531488069,-0.2693760347881878,-0.14151444708269487,-0.0941379081640922,-0.0847266955356758,-0.09069590477347673,-0.13936990240708413,-0.162838191384284,-0.18785928494038512,-0.23065742602103143,-0.26441590221560685,-0.2853163777962795,-0.3600801926177542,-0.41262324667338895,-0.4186283769965022,-0.24968099083068168,-0.3128192682290223,-0.4441717497665194,-0.5640064545028187,-0.6181728618554205,-0.6230256838767558,-0.6049828340074151,-0.6016746815428726,-0.5789915637667199,-0.592708998284105,-0.5512794953309023,-0.5844689926916475,-0.6092728593015007,-0.5497236855971186,-0.5536613390547992,-0.5454863500463273,-0.5111958353352622,-0.4808217308397105,-0.49454466238115385,-0.5553766455075986,-0.4709484355378763,-0.5347023510374103,-0.43729443863757933
group_2,0.5831991404630182,-1.5060799503228104,-0.19869761736373961,0.6741652801165692,0.5985882318795399,0.6334721526673578,0.6020191930652363,0.6541138658807523,0.6294603206616367,0.26628435101039244,-0.381988613762773,-0.4111505879799306,-0.38876619387368583,-0.36092499104426357,-0.3055537360027833,-0.25851599678242165,-0.23029746721715674,-0.14106459918625766,-0.010726455819079193,0.13131144155203975,0.4690859774638809,0.6472908572857324,0.5130177014252193,-0.251232046533789,-0.5193736464265877,-0.8127119524682821,-0.9389973464538941,-0.8611663006292306,-0.8470932565007903,-0.8236978864664473,-0.8337914788376896,-0.8382276691097457,-0.8300071785444298,-0.8473874891098753,-0.831258971346531,-0.8760088498610652,-0.8937646546876008,-0.8837846386469863,-0.8999494604564378,-0.855646607536455,-0.8980146109269342,-0.8785504801560075,-0.9076876349003988,-0.8405112292516959,-0.9484459874493464,-0.7903535654607324
