Class,TP,TN,FP,FN,Precision,Recall,F1_Score,Accuracy,AUC
leaf_1,4,19,1,1,0.8,0.8,0.8000000000000002,0.92,0.975
leaf_2,2,16,4,3,0.3333333333333333,0.4,0.3636363636363636,0.72,0.66
leaf_3,2,14,6,3,0.25,0.4,0.3076923076923077,0.64,0.6200000000000001
leaf_4,2,18,2,3,0.5,0.4,0.4444444444444445,0.8,0.815
leaf_5,1,19,1,4,0.5,0.2,0.28571428571428575,0.8,0.875
Micro_avg,11,86,14,14,0.44,0.44,0.44,0.44,0.8058
Macro_avg,-,-,-,-,0.4766666666666667,0.44000000000000006,0.4402974802974803,0.776,0.7889999999999999
KNeighborsClassifier model classification performance report,,,,,,,,,
