Class,TP,TN,FP,FN,Precision,Recall,F1_Score,Accuracy,AUC
leaf_1,3,19,1,2,0.75,0.6,0.6666666666666665,0.88,0.9750000000000001
leaf_2,4,18,2,1,0.6666666666666666,0.8,0.7272727272727272,0.88,0.9400000000000001
leaf_3,5,19,1,0,0.8333333333333334,1.0,0.9090909090909091,0.96,0.9750000000000001
leaf_4,4,20,0,1,1.0,0.8,0.888888888888889,0.96,0.9800000000000001
leaf_5,5,20,0,0,1.0,1.0,1.0,1.0,1.0
Micro_avg,21,96,4,4,0.84,0.84,0.84,0.84,0.9752
Macro_avg,-,-,-,-,0.85,0.8400000000000001,0.8383838383838385,0.9359999999999999,0.974
StandardScaler_feat5_RandomForestClassifier model classification performance report,,,,,,,,,
