Process_ID,All,7_0_%#1,7_0_%#2,7_0_%#3,7_0_%#4
Process_label,All,StandardScaler_feat5_KNeighborsRegressor,StandardScaler_feat5_RandomForestRegressor,StandardScaler_feat_all_KNeighborsRegressor,StandardScaler_feat_all_RandomForestRegressor
n_records,16,4,4,4,4
Mean_R2,0.7736291666666667,0.8172222222222223,0.8360000000000001,0.6694444444444445,0.77185
Min_R2,0.4599999999999999,0.7022222222222222,0.7166,0.4599999999999999,0.5674
Median_R2,0.8211111111111111,0.8277777777777777,0.8513999999999999,0.6577777777777778,0.8150999999999999
Max_R2,0.9246,0.9111111111111112,0.9246,0.9022222222222224,0.8898
All,1.0,0.8871192651002024,0.4211746512517742,0.4211746512517742,0.8871192651002024
7_0_%#1,0.8871192651002024,1.0,0.6857142857142857,0.4857142857142857,0.8857142857142857
7_0_%#2,0.4211746512517742,0.6857142857142857,1.0,0.34285714285714286,0.4857142857142857
7_0_%#3,0.4211746512517742,0.4857142857142857,0.34285714285714286,1.0,0.6857142857142857
7_0_%#4,0.8871192651002024,0.8857142857142857,0.4857142857142857,0.6857142857142857,1.0
