Process_ID,All,KNeighborsRegressor,RandomForestRegressor
Process_label,All,KNeighborsRegressor,RandomForestRegressor
n_records,16,8,8
Mean_R2,0.7736291666666667,0.7433333333333334,0.803925
Min_R2,0.4599999999999999,0.4599999999999999,0.5674
Median_R2,0.8211111111111111,0.8211111111111111,0.8255999999999999
Max_R2,0.9246,0.9111111111111112,0.9246
All,1.0,0.690087634628138,0.690087634628138
KNeighborsRegressor,0.690087634628138,1.0,0.5053613053613053
RandomForestRegressor,0.690087634628138,0.5053613053613053,1.0
