Class,TP,TN,FP,FN,Precision,Recall,F1_Score,Accuracy,AUC
leaf_1,4,18,2,1,0.6666666666666666,0.8,0.7272727272727272,0.88,0.975
leaf_2,2,19,1,3,0.6666666666666666,0.4,0.5,0.84,0.9299999999999999
leaf_3,5,18,2,0,0.7142857142857143,1.0,0.8333333333333333,0.92,1.0
leaf_4,4,18,2,1,0.6666666666666666,0.8,0.7272727272727272,0.88,0.9450000000000001
leaf_5,3,20,0,2,1.0,0.6,0.7499999999999999,0.92,1.0
Micro_avg,18,93,7,7,0.72,0.72,0.72,0.72,0.9630000000000001
Macro_avg,-,-,-,-,0.7428571428571428,0.72,0.7075757575757576,0.8880000000000001,0.97
RandomForestClassifier model classification performance report,,,,,,,,,
