Sample_ID,leaf_1_probability_Cooks_distance_like,leaf_2_probability_Cooks_distance_like,leaf_3_probability_Cooks_distance_like,leaf_4_probability_Cooks_distance_like,leaf_5_probability_Cooks_distance_like
File-loaded-ROI_group_1_demo-tiff_demo_1-xml_1-1,0.03273550724637681,0.023393719806763285,0.0010704874835309618,0.0006365060712886799,0.016624040920716114
File-loaded-ROI_group_1_demo-tiff_demo_1-xml_1-2,0.3695652173913046,0.02525575447570332,0.001969888841986774,0.003283514492753624,0.0004304778303917346
File-loaded-ROI_group_1_demo-tiff_demo_1-xml_1-3,0.0978260869565218,0.026214833759590796,0.005206134796679331,0.00384963768115942,0.00021523891519586744
File-loaded-ROI_group_1_demo-tiff_demo_1-xml_1-4,0.09782608695652184,0.004475703324808184,0.003376952300548755,0.007812500000000002,0.0004304778303917346
File-loaded-ROI_group_1_demo-tiff_demo_1-xml_1-5,0.0037681159420289833,0.0051811594202898536,0.002259918020787586,0.0010002238263107828,0.012468030690537079
File-loaded-ROI_group_1_demo-tiff_demo_2-xml_2-1,0.315217391304348,0.062340153452685405,0.004995075277895033,0.03453351449275362,0.0008609556607834697
File-loaded-ROI_group_1_demo-tiff_demo_2-xml_2-2,0.0009420289855072458,0.008478260869565215,0.005233494363929146,0.00127301214257736,0.02216538789428815
File-loaded-ROI_group_1_demo-tiff_demo_2-xml_2-3,0.0,0.0025120772946859897,0.003925120772946861,0.002182306530132618,0.004156010230179027
File-loaded-ROI_group_1_demo-tiff_demo_2-xml_2-4,0.021739130434782608,0.016943734015345265,0.005206134796679331,0.014832427536231886,0.0004304778303917346
File-loaded-ROI_group_1_demo-tiff_demo_2-xml_2-5,0.0,0.004082125603864733,0.003687234665495536,0.00127301214257736,0.0013853367433930089
File-loaded-ROI_group_2_demo-tiff_demo_3-xml_3-1,0.15217391304347835,0.007352941176470587,0.0038694245110454484,0.006000905797101449,0.0010761945759793364
File-loaded-ROI_group_2_demo-tiff_demo_3-xml_3-2,0.00023550724637681146,0.0026690821256038643,0.005352437417654812,0.002364165407643669,0.023550724637681163
File-loaded-ROI_group_2_demo-tiff_demo_3-xml_3-3,0.14130434782608706,0.009910485933503835,0.004221190375685944,0.004415760869565217,0.00021523891519586744
File-loaded-ROI_group_2_demo-tiff_demo_3-xml_3-4,0.1847826086956523,0.004475703324808186,0.0009145912480652877,0.0014719202898550731,0.0002152389151958673
File-loaded-ROI_group_2_demo-tiff_demo_3-xml_3-5,0.0009420289855072458,0.0009420289855072463,0.0038061777192211987,0.003091600917687874,0.0027706734867860195
File-loaded-ROI_group_2_demo-tiff_demo_4-xml_4-1,0.0018840579710144923,0.022922705314009657,0.004400892987849511,0.010365956018129932,0.023550724637681163
File-loaded-ROI_group_2_demo-tiff_demo_4-xml_4-2,0.06521739130434788,0.002557544757033247,0.0023216547066272695,0.0022644927536231885,0.0019371502367628065
File-loaded-ROI_group_2_demo-tiff_demo_4-xml_4-3,0.02173913043478261,0.023337595907928388,0.005276487969607429,0.003170289855072464,0.0012914334911752045
File-loaded-ROI_group_2_demo-tiff_demo_4-xml_4-4,0.0,0.0007850241545893714,0.007255526277265408,0.007274355100442057,0.008312020460358055
File-loaded-ROI_group_2_demo-tiff_demo_4-xml_4-5,0.0011775362318840574,0.02276570048309179,0.007017640169814085,0.017913099434838566,0.0027706734867860177
File-loaded-ROI_group_2_demo-tiff_demo_5-xml_5-1,0.04347826086956522,0.01118925831202046,0.0026030673983396656,0.00203804347826087,0.0008609556607834702
File-loaded-ROI_group_2_demo-tiff_demo_5-xml_5-2,0.0,0.004082125603864733,0.0026167471819645727,0.002909742040176823,0.030477408354646213
File-loaded-ROI_group_2_demo-tiff_demo_5-xml_5-3,0.2173913043478262,0.0060741687979539655,0.001125650766849585,0.001358695652173913,0.0002152389151958673
File-loaded-ROI_group_2_demo-tiff_demo_5-xml_5-4,0.03260869565217392,0.0035166240409207176,0.002040242014914873,0.0033967391304347834,0.0010761945759793364
File-loaded-ROI_group_2_demo-tiff_demo_5-xml_5-5,0.0037681159420289833,0.004082125603864733,0.0030925193968672233,0.0033643892339544506,0.059569479965899404
