Class,TP,TN,FP,FN,Precision,Recall,F1_Score,Accuracy,AUC
leaf_1,5,19,1,0,0.8333333333333334,1.0,0.9090909090909091,0.96,0.975
leaf_2,1,20,0,4,1.0,0.2,0.33333333333333337,0.84,0.9
leaf_3,2,14,6,3,0.25,0.4,0.3076923076923077,0.64,0.625
leaf_4,2,18,2,3,0.5,0.4,0.4444444444444445,0.8,0.7100000000000002
leaf_5,5,19,1,0,0.8333333333333334,1.0,0.9090909090909091,0.96,0.985
Micro_avg,15,90,10,10,0.6,0.6,0.6,0.6,0.854
Macro_avg,-,-,-,-,0.6833333333333333,0.6,0.5807303807303807,0.8400000000000001,0.8390000000000001
StandardScaler_feat5_KNeighborsClassifier model classification performance report,,,,,,,,,
