Class,TP,TN,FP,FN,Precision,Recall,F1_Score,Accuracy,AUC
leaf_1,5,19,1,0,0.8333333333333334,1.0,0.9090909090909091,0.96,0.9600000000000001
leaf_2,4,20,0,1,1.0,0.8,0.888888888888889,0.96,0.885
leaf_3,4,19,1,1,0.8,0.8,0.8000000000000002,0.92,0.965
leaf_4,4,18,2,1,0.6666666666666666,0.8,0.7272727272727272,0.88,0.9000000000000001
leaf_5,4,20,0,1,1.0,0.8,0.888888888888889,0.96,0.8900000000000001
Micro_avg,21,96,4,4,0.84,0.84,0.84,0.84,0.9212
Macro_avg,-,-,-,-,0.8600000000000001,0.8400000000000001,0.8428282828282828,0.9359999999999999,0.9199999999999999
KNeighborsClassifier model classification performance report,,,,,,,,,
