Class,TP,TN,FP,FN,Precision,Recall,F1_Score,Accuracy,AUC
leaf_1,5,19,1,0,0.8333333333333334,1.0,0.9090909090909091,0.96,0.975
leaf_2,2,17,3,3,0.4,0.4,0.4000000000000001,0.76,0.5999999999999999
leaf_3,3,14,6,2,0.3333333333333333,0.6,0.42857142857142855,0.68,0.715
leaf_4,4,19,1,1,0.8,0.8,0.8000000000000002,0.92,0.91
leaf_5,0,20,0,5,,0.0,,0.8,0.9249999999999999
Micro_avg,14,89,11,11,0.56,0.56,0.56,0.56,0.8182
Macro_avg,-,-,-,-,0.5916666666666667,0.5599999999999999,0.5075324675324675,0.8240000000000001,0.825
StandardScaler_feat_all_KNeighborsClassifier model classification performance report,,,,,,,,,
