Process_ID,All,KNeighborsClassifier,RandomForestClassifier
Process_label,All,KNeighborsClassifier,RandomForestClassifier
n_records,16,8,8
Mean_AUC_macro,0.8828750000000001,0.8700000000000001,0.8957499999999999
Min_AUC_macro,0.6910000000000001,0.6910000000000001,0.7809999999999999
Median_AUC_macro,0.8795000000000001,0.8760000000000001,0.9
Max_AUC_macro,0.976,0.976,0.974
All,1.0,0.8299980443873236,0.8299980443873236
KNeighborsClassifier,0.8299980443873236,1.0,0.7209013209013208
RandomForestClassifier,0.8299980443873236,0.7209013209013208,1.0
