Class,TP,TN,FP,FN,Precision,Recall,F1_Score,Accuracy,AUC
leaf_1,3,19,1,2,0.75,0.6,0.6666666666666665,0.88,0.95
leaf_2,4,18,2,1,0.6666666666666666,0.8,0.7272727272727272,0.88,0.9299999999999999
leaf_3,5,20,0,0,1.0,1.0,1.0,1.0,1.0
leaf_4,4,18,2,1,0.6666666666666666,0.8,0.7272727272727272,0.88,0.9550000000000001
leaf_5,3,19,1,2,0.75,0.6,0.6666666666666665,0.88,0.9500000000000001
Micro_avg,19,94,6,6,0.76,0.76,0.76,0.76,0.9576
Macro_avg,-,-,-,-,0.7666666666666666,0.76,0.7575757575757576,0.9039999999999999,0.9570000000000001
RandomForestClassifier model classification performance report,,,,,,,,,
