Group,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45
OVERALL,2.9283337297090983,4.359764025392084,2.845474890691841,1.916022445081622,1.865496751918794,1.9734011505484834,1.983736558393117,2.0220336333054587,2.1034888593998917,2.2728093845614743,2.2356508893806915,2.197231494366396,2.1763956305121748,2.1731474665031483,2.173832364657508,2.2006255512729256,2.207163974092644,2.2307129073335457,2.240134636037943,2.238260043511237,2.20730291779191,2.0862933653388023,2.067121079607936,2.239819230183905,2.1553607951205613,2.4966220406599113,2.8877204919801014,2.8738376248967827,2.857373393403623,2.8919789353148166,2.8733437606082863,2.86502721031536,2.8778927951229862,2.8937358887845837,2.85475099345064,2.87270624846805,2.9024519610257546,2.91162281849932,2.9149882307116615,2.865943694354331,3.011599578621348,3.004435417114676,3.0486712993616223,3.0079348023218087,3.087627974289824,2.977883492234693
group_1,2.6171266248845857,1.4163735027865167,2.068453459156592,1.481234282542531,1.4479226444616347,1.419535065868913,1.4374141781075906,1.418294581740225,1.4408156063582032,1.5077630691498942,1.6905715710009293,1.7943148589467421,1.821986921242428,1.7999630844864893,1.687224226016645,1.6196367897596144,1.5990452762643979,1.5415576825820931,1.5029515315856727,1.4868222276665433,1.4364983384942929,1.366171934295883,1.368381447924779,1.5222329665404166,1.84502752215721,2.334784352800327,2.754204450437062,2.902983923248313,2.8846025449917763,2.987298276336131,2.9507572538365907,2.9092319695406434,2.9509461949915234,2.9073861468597455,2.938480624304434,2.926404125895346,2.8522766175985583,2.9037090159104837,2.835951433373902,2.82888450483681,2.93983016538181,2.9769200413060593,3.066500609206944,2.9922122906399578,2.897667477975814,2.8266243732509415
group_2,2.5733749971472526,5.215332117634362,2.604599619089512,2.355745151751735,2.271363809708788,2.282330463833464,2.2675871598715736,2.316603992909711,2.3107247577986105,2.0624407222795273,1.7881761223656485,1.890481758101826,1.8930479409863585,1.8632647826975866,1.786180179730283,1.6950603367593289,1.692447083045125,1.696497531031845,1.7706725160871706,1.9067608419676485,2.248613762407501,2.379979623050198,2.336707697803736,1.8913479872285683,2.2194640030037265,2.6594622405969175,2.852234524882773,2.711215678294138,2.7127097055592895,2.6816407414769015,2.662594897608835,2.646178921747876,2.663157164176241,2.666826816211478,2.6042375180972783,2.658935047499344,2.7083617028632108,2.6870964473344965,2.74244587868363,2.6249065345957967,2.7657685179089153,2.7506142333113095,2.819461888825331,2.729266922577705,2.9715826435685204,2.8342184412816875
