Group,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45
OVERALL,-1.4007058143615725,-1.3367528915405271,-1.24237322807312,-1.207705020904541,-1.2189910411834717,-1.204146385192871,-1.201118230819702,-1.2032970190048218,-1.1693170070648191,-1.0410032272338867,-0.8806367516517639,-0.7603734731674194,-0.7289714813232422,-0.7463382482528687,-0.8324213624000549,-0.8837438821792603,-0.9035690426826476,-0.9425607323646544,-0.9643727540969848,-0.987703412771225,-1.053837537765503,-1.1585177183151243,-1.1430819034576416,-0.8746842741966248,-0.4004005044698715,0.2321962788701057,0.788905680179596,1.0158237218856812,1.036128282546997,1.0216439962387085,1.0332651138305664,1.0506266355514526,1.058221697807312,1.0638304948806765,1.0881564617156982,1.0941306352615356,1.0942213535308838,1.1150498390197754,1.1040120124816897,1.1065171957015991,1.0982442498207092,1.0669792294502258,0.9821279346942902,0.8697198629379272,0.859801173210144,0.8085320591926575
group_1,-1.4007058143615725,-1.3367528915405271,-1.24237322807312,-1.207705020904541,-1.2189910411834717,-1.204146385192871,-1.201118230819702,-1.2032970190048218,-1.1693170070648191,-1.0410032272338867,-0.7972158193588257,-0.5927145183086395,-0.5248367190361023,-0.5439245402812958,-0.6837044358253479,-0.7760161459445953,-0.8119409084320068,-0.8806265294551849,-0.9204797744750975,-0.9709286093711852,-1.053837537765503,-1.1585177183151243,-1.1430819034576416,-0.7807445526123047,-0.0521528255194425,0.5484116077423096,0.906605452299118,1.0158237218856812,1.036128282546997,1.0216439962387085,1.0332651138305664,1.0506266355514526,1.058221697807312,1.0638304948806765,1.0881564617156982,1.0941306352615356,1.0942213535308838,1.1150498390197754,1.1040120124816897,1.1065171957015991,1.0982442498207092,1.0669792294502258,1.0099775195121763,0.9110090732574464,0.859801173210144,0.8085320591926575
group_2,-1.150137186050415,-1.1273349523544312,-1.0946720838546753,-1.0900849103927612,-1.096316695213318,-1.078105330467224,-1.0798139572143557,-1.0782431364059448,-1.067698359489441,-1.0083364248275757,-0.8806367516517639,-0.7603734731674194,-0.7289714813232422,-0.7463382482528687,-0.8324213624000549,-0.8837438821792603,-0.9035690426826476,-0.9425607323646544,-0.9643727540969848,-0.987703412771225,-1.0305455923080444,-1.0677984952926636,-1.0429933071136477,-0.8746842741966248,-0.4004005044698715,0.2321962788701057,0.788905680179596,1.016006588935852,1.0633177757263184,1.077520489692688,1.0841401815414429,1.0926575660705566,1.1035161018371582,1.111145794391632,1.1223475337028503,1.1283676624298096,1.132014274597168,1.147053599357605,1.1390846967697144,1.1272711157798767,1.1181678771972656,1.1033064126968384,0.9821279346942902,0.8697198629379272,0.8749623000621796,0.8301879465579987
