Preprocessing_chain,Sample_ID,X_shape,y,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45
,File-loaded-ROI_group_2_demo-tiff_demo_3-xml_3-1,"(46,)",2,1502.676724137931,1292.5045977011494,626.833908045977,442.05488505747127,390.46954022988507,403.80574712643676,395.6330459770115,393.76149425287355,418.09224137931034,527.1787356321839,921.3942528735632,1344.8436781609196,1481.9043103448275,1419.2183908045977,1093.2798850574713,898.2459770114942,827.751724137931,698.4905172413793,623.1804597701149,557.7172413793104,460.99827586206897,393.86149425287357,451.7591954022989,883.4114942528736,2557.305747126437,4356.872701149426,5615.3456896551725,6073.925287356322,6205.512643678161,6226.766666666666,6246.893390804597,6289.917528735632,6319.951724137931,6356.089367816092,6389.918390804598,6425.35632183908,6445.30775862069,6453.088218390804,6455.634482758621,6471.677011494253,6461.826724137931,6395.126149425288,6232.863793103448,6029.984770114943,5911.989942528736,5727.369540229885
,File-loaded-ROI_group_2_demo-tiff_demo_3-xml_3-2,"(46,)",2,1397.729513888889,1211.0340277777777,622.7065972222222,421.6298611111111,358.50902777777776,366.5340277777778,362.9357638888889,360.11805555555554,374.96770833333335,462.37118055555555,779.4173611111111,1130.3322916666666,1235.9756944444443,1188.9909722222221,923.1777777777778,764.2333333333333,707.5972222222222,601.4097222222222,542.10625,484.41875,408.6222222222222,357.12708333333336,403.51944444444445,746.8659722222222,2073.6086805555556,3517.2479166666667,4512.740625,4895.391319444445,5009.514236111111,5048.087847222222,5072.212847222222,5093.798958333334,5113.517013888889,5129.359027777778,5141.626041666666,5153.971875,5171.256944444444,5179.856944444445,5176.502083333334,5149.663541666667,5138.727777777778,5115.352777777778,5005.002083333334,4851.390277777778,4764.537847222222,4728.689930555555
,File-loaded-ROI_group_2_demo-tiff_demo_3-xml_3-3,"(46,)",2,1402.373873873874,1161.4179869524696,705.1991301646474,529.6882572227399,485.89033861447655,496.047064305685,492.17179248213733,490.31950916433675,508.4467225846536,617.1480273376825,980.4144144144144,1378.5770425598012,1505.2590866728797,1454.3718546132338,1159.2587760173967,977.3179558869214,909.5386766076422,790.2246039142591,723.2350108729419,656.0201926063995,562.6688412550482,501.2214973594284,545.5080770425598,960.2374961168065,2475.6581236408824,4048.942994718857,5113.90789064927,5488.150201926064,5602.851817334576,5627.658434296365,5648.207673190432,5680.477788132961,5698.60826343585,5715.512581547065,5737.110593351973,5751.511804908357,5776.140882261572,5782.083876980429,5790.384902143523,5780.140571606089,5762.382416899658,5702.110438024231,5594.160298229263,5442.324013668841,5381.196955576266,5283.995495495496
,File-loaded-ROI_group_2_demo-tiff_demo_3-xml_3-4,"(46,)",2,1450.7115625,1207.3559375,646.939375,462.798125,391.14625,405.983125,398.5434375,397.4403125,422.124375,552.1578125,963.903125,1404.04125,1546.879375,1491.56125,1171.8896875,974.0940625,901.355,762.336875,680.893125,608.093125,497.0640625,416.174375,464.9209375,945.3940625,2602.1478125,4237.3428125,5315.31,5687.415625,5778.574375,5802.545625,5823.63125,5848.61875,5892.0496875,5922.61,5951.316875,5969.4703125,5977.9446875,5988.1321875,5985.049375,6011.2215625,5972.6553125,5882.40875,5777.1640625,5585.4684375,5521.8375,5320.7284375
,File-loaded-ROI_group_2_demo-tiff_demo_3-xml_3-5,"(46,)",2,1315.7830917874396,1149.4526570048308,617.3545893719806,392.03236714975844,328.151690821256,355.25845410628017,346.619806763285,356.468115942029,380.30193236714973,540.5458937198067,1010.9589371980676,1494.4565217391305,1646.5222222222221,1589.2980676328502,1247.783574879227,1029.5555555555557,951.7792270531401,797.0144927536232,705.6729468599034,621.4227053140097,482.112077294686,384.61256038647343,447.9975845410628,1033.1541062801932,2835.35845410628,4518.644444444444,5642.010628019324,6004.8207729468595,6095.319323671498,6107.91690821256,6123.278260869565,6156.92077294686,6185.013526570048,6218.591787439614,6267.443961352657,6296.279710144928,6310.085990338164,6315.102898550725,6334.980193236715,6332.973913043478,6277.469565217391,6230.823671497585,6038.057971014493,5882.640579710145,5801.686473429952,5693.7700483091785
,File-loaded-ROI_group_2_demo-tiff_demo_4-xml_4-1,"(46,)",1,1412.2820754716981,1244.0278301886792,769.4155660377359,701.2018867924528,622.6783018867925,624.7566037735849,613.8839622641509,613.3839622641509,629.8377358490566,692.1330188679245,958.597641509434,1303.3485849056603,1418.957075471698,1361.5004716981132,1096.1325471698112,951.313679245283,895.2617924528302,806.0952830188679,756.2084905660378,713.3905660377359,657.8985849056604,622.8051886792452,685.7188679245284,977.5764150943396,2467.372169811321,4362.214150943396,5777.796698113208,6342.225471698113,6484.897169811321,6503.825943396227,6495.441037735849,6522.692452830189,6546.9816037735845,6572.115094339622,6609.6801886792455,6621.280660377359,6634.704245283019,6687.258962264151,6665.679245283019,6682.709905660377,6641.170754716981,6594.021698113207,6409.561320754717,6204.641981132076,6058.276415094339,6043.2683962264155
,File-loaded-ROI_group_2_demo-tiff_demo_4-xml_4-2,"(46,)",1,1385.183455882353,1246.2944852941177,732.8411764705883,593.0430147058823,516.9485294117648,523.8985294117647,510.8683823529412,513.0419117647059,525.1202205882353,593.5238970588235,872.4018382352941,1221.3922794117648,1333.3147058823529,1281.4452205882353,1008.7,854.4393382352941,798.8602941176471,702.1985294117648,649.9363970588236,600.7400735294118,545.3003676470588,513.552205882353,568.3128676470589,879.3261029411765,2360.5261029411763,4159.744485294118,5464.35294117647,5933.956617647059,6062.1882352941175,6054.283088235294,6073.819485294118,6091.575367647059,6109.704411764706,6126.154044117647,6138.324264705882,6198.0007352941175,6193.983823529412,6240.372794117647,6212.363602941176,6226.066911764706,6201.05330882353,6153.166911764706,6061.807352941177,5784.638235294117,5682.722794117647,5692.868014705882
,File-loaded-ROI_group_2_demo-tiff_demo_4-xml_4-3,"(46,)",1,1639.583952832607,1409.3201743142783,824.9371955908741,691.6049730838247,632.4524480902332,654.4978210715201,635.5280697257114,636.4183542681363,649.3019738528583,727.4075877980005,1049.4178415790823,1442.3834914124584,1568.5444757754422,1509.6744424506537,1206.1374006664958,1037.022814662907,977.2350679312997,869.2225070494745,811.5175596001026,759.3860548577288,693.161753396565,653.6400922840297,714.3881056139452,1075.1697000769034,2712.5857472442963,4626.107921045886,5957.2886439374515,6468.006664957703,6608.465008972058,6625.34350166624,6605.3781081773905,6610.793642655729,6646.12483978467,6655.584721866188,6681.901051012561,6702.1422712125095,6704.999743655473,6735.706229172008,6728.562163547808,6754.502691617534,6762.26018969495,6670.339400153806,6554.066393232504,6335.301973852858,6243.066905921559,6158.252755703666
,File-loaded-ROI_group_2_demo-tiff_demo_4-xml_4-4,"(46,)",1,1603.804024039718,1370.5800888424353,702.5330546119676,537.320877972302,484.0773451789914,497.6914031878756,479.58348575908025,479.7376535145022,494.61405800888423,581.5126731120982,905.2492814214789,1287.919519205644,1408.2390906715443,1350.116540371048,1053.3843741834335,881.0350143715705,820.9547948784949,710.6394042330808,652.7682257643063,598.4520512150509,527.9689051476353,482.78390384112885,543.8544551868304,906.7379148157826,2513.8463548471386,4385.607786778155,5724.957146590018,6196.144499608048,6315.512150509538,6325.059315390646,6316.0350143715705,6333.115233864646,6358.903841128821,6371.3718317219755,6394.640449438202,6443.3153906454145,6438.331852626078,6490.267049908544,6469.862555526522,6486.681212437941,6467.3603344656385,6389.102691403188,6275.490985105827,6052.033446563888,5966.175855761693,5843.260517376535
,File-loaded-ROI_group_2_demo-tiff_demo_4-xml_4-5,"(46,)",1,1576.5043731778426,1265.6876301541024,618.0258225739275,467.2261557684298,389.4427321949188,398.359850062474,394.8638067471887,391.4698042482299,409.41566014160765,512.768429820908,871.8213244481466,1272.6534777176178,1397.8513119533527,1336.880882965431,1030.7600999583508,850.5526863806747,784.2923781757601,663.3660974593919,598.036651395252,540.6776343190337,453.219491878384,394.26364014993754,459.143273635985,873.076218242399,2481.485214493961,4242.3685964181595,5464.96876301541,5907.960016659725,6029.904206580592,6041.253644314869,6030.954602249063,6028.967097042899,6059.159933361099,6064.663473552687,6100.116618075802,6131.298625572678,6129.104956268222,6175.233652644732,6190.140774677217,6180.065805914202,6211.671803415244,6104.529362765515,5979.399833402749,5823.92003331945,5727.602665556018,5607.535193669304
,File-loaded-ROI_group_2_demo-tiff_demo_5-xml_5-1,"(46,)",0,1461.707509881423,1310.9683794466403,668.5375494071146,312.14229249011856,295.6166007905138,285.6877470355731,271.9328063241107,282.6521739130435,306.74110671936756,408.45652173913044,708.7569169960474,1030.8537549407115,1131.98814229249,1077.8794466403162,831.2529644268775,683.6126482213439,636.9525691699605,533.8557312252965,486.65415019762844,433.2094861660079,358.8339920948617,282.9387351778656,332.9644268774704,718.6106719367589,2091.118577075099,3940.324110671937,5525.671936758893,6158.99604743083,6341.618577075099,6376.581027667984,6403.689723320158,6422.766798418972,6547.575098814229,6543.618577075099,6618.314229249012,6638.662055335968,6647.46837944664,6662.934782608696,6680.264822134387,6696.237154150198,6604.033596837945,6546.721343873518,6322.205533596838,6045.644268774704,5812.055335968379,5752.249011857708
,File-loaded-ROI_group_2_demo-tiff_demo_5-xml_5-2,"(46,)",0,1478.3125,785.0416666666666,521.5677083333334,355.9322916666667,263.5546875,268.7916666666667,253.40104166666666,269.9348958333333,290.8072916666667,393.609375,656.40625,938.546875,1029.0208333333333,979.5442708333334,774.0807291666666,647.625,602.1536458333334,512.9713541666666,465.7395833333333,413.7213541666667,336.78125,265.5989583333333,288.4557291666667,662.5598958333334,1856.1197916666667,3469.9713541666665,4914.640625,5508.380208333333,5698.8671875,5744.942708333333,5771.911458333333,5805.390625,5851.682291666667,5900.705729166667,5936.1953125,5990.705729166667,5983.111979166667,6009.658854166667,5976.520833333333,6002.434895833333,5913.658854166667,5780.5390625,5519.3671875,5218.953125,5183.5625,5086.981770833333
,File-loaded-ROI_group_2_demo-tiff_demo_5-xml_5-3,"(46,)",0,1279.9683615819208,1227.154802259887,481.4508474576271,335.0983050847458,238.42372881355934,276.3536723163842,279.04858757062146,270.63389830508476,290.0960451977401,362.04971751412427,575.393220338983,815.2892655367232,895.4937853107344,861.302824858757,676.3220338983051,572.716384180791,535.4372881355932,459.93220338983053,424.3446327683616,382.3853107344633,327.12994350282486,279.77966101694915,300.99322033898306,574.0937853107345,1570.8022598870057,2925.250847457627,4057.6033898305086,4522.749152542373,4648.687005649717,4704.996610169492,4754.216949152542,4786.993220338983,4799.753672316384,4828.776271186441,4847.917514124294,4849.554802259887,4820.133333333333,4845.116384180791,4815.593220338983,4869.724293785311,4778.315254237288,4685.566101694915,4508.320903954802,4390.790960451977,4271.853107344633,4269.3785310734465
,File-loaded-ROI_group_2_demo-tiff_demo_5-xml_5-4,"(46,)",0,1737.695,1005.1375,447.7225,325.8025,263.4825,281.3375,279.2325,286.745,296.8875,375.545,603.4025,877.0025,967.46,923.12,713.68,596.4275,549.835,468.775,430.5075,389.82,328.2125,289.8575,323.365,609.0825,1761.2225,3321.245,4551.84,5032.28,5189.7525,5220.6125,5245.735,5247.1125,5292.7075,5303.495,5276.315,5311.065,5281.135,5332.755,5329.39,5336.9375,5337.1875,5237.5375,5073.3725,4933.215,4833.27,4827.3725
,File-loaded-ROI_group_2_demo-tiff_demo_5-xml_5-5,"(46,)",0,1337.6139705882354,1335.8235294117646,611.2671568627451,366.53063725490193,316.49754901960785,301.45710784313724,301.00857843137254,304.0747549019608,324.3897058823529,417.2242647058824,705.8284313725491,1024.2745098039215,1123.3406862745098,1072.1666666666667,824.7267156862745,683.9754901960785,631.5110294117648,538.3517156862745,482.890931372549,435.6752450980392,362.9093137254902,308.82598039215685,365.7291666666667,728.4632352941177,2109.2071078431372,3942.5220588235293,5475.984068627451,6094.024509803921,6292.52818627451,6310.569852941177,6315.004901960784,6298.886029411765,6336.3774509803925,6334.756127450981,6351.370098039216,6379.428921568628,6378.883578431372,6434.275735294118,6412.303921568628,6410.099264705882,6402.783088235294,6322.245098039216,6184.287990196079,5812.556372549019,5830.1482843137255,5607.177696078431
