Class,TP,TN,FP,FN,Precision,Recall,F1_Score,Accuracy,AUC
leaf_1,4,19,1,1,0.8,0.8,0.8000000000000002,0.92,0.99
leaf_2,3,17,3,2,0.5,0.6,0.5454545454545454,0.8,0.8300000000000001
leaf_3,2,16,4,3,0.3333333333333333,0.4,0.3636363636363636,0.72,0.74
leaf_4,1,17,3,4,0.25,0.2,0.22222222222222224,0.72,0.585
leaf_5,3,19,1,2,0.75,0.6,0.6666666666666665,0.88,0.9849999999999999
Micro_avg,13,88,12,12,0.52,0.52,0.52,0.52,0.8612
Macro_avg,-,-,-,-,0.5266666666666666,0.5199999999999999,0.5195959595959596,0.808,0.826
StandardScaler_feat_all_RandomForestClassifier model classification performance report,,,,,,,,,
