Class,TP,TN,FP,FN,Precision,Recall,F1_Score,Accuracy,AUC
leaf_1,5,18,2,0,0.7142857142857143,1.0,0.8333333333333333,0.92,1.0
leaf_2,3,20,0,2,1.0,0.6,0.7499999999999999,0.92,1.0
leaf_3,3,20,0,2,1.0,0.6,0.7499999999999999,0.92,0.7600000000000001
leaf_4,4,15,5,1,0.4444444444444444,0.8,0.5714285714285714,0.76,0.86
leaf_5,2,19,1,3,0.6666666666666666,0.4,0.5,0.84,0.9700000000000001
Micro_avg,17,92,8,8,0.68,0.68,0.68,0.68,0.9097999999999999
Macro_avg,-,-,-,-,0.7650793650793651,0.6799999999999999,0.680952380952381,0.8720000000000001,0.9179999999999999
StandardScaler_feat5_RandomForestClassifier model classification performance report,,,,,,,,,
