Sample_ID,leaf_1_probability_Cooks_distance_like,leaf_2_probability_Cooks_distance_like,leaf_3_probability_Cooks_distance_like,leaf_4_probability_Cooks_distance_like,leaf_5_probability_Cooks_distance_like
File-loaded-ROI_group_1_demo-tiff_demo_1-xml_1-1,0.020318272236430804,0.009455972771190162,0.006189613526570047,0.009627654726096072,0.005184674453817867
File-loaded-ROI_group_1_demo-tiff_demo_1-xml_1-2,0.0007672634271099744,0.002128306476132563,0.0030511060259344005,0.0036978933213805474,0.0033444816053511735
File-loaded-ROI_group_1_demo-tiff_demo_1-xml_1-3,0.0038363171355498727,0.0019762845849802366,0.0033053648614289346,0.0036978933213805474,0.00836120401337793
File-loaded-ROI_group_1_demo-tiff_demo_1-xml_1-4,0.008312020460358055,0.006422924901185769,0.0037741545893719797,0.00562847507064078,0.004833171101016656
File-loaded-ROI_group_1_demo-tiff_demo_1-xml_1-5,0.004092071611253197,0.0012161751292186075,0.0007627765064835999,0.002465262214253697,0.010033444816053517
File-loaded-ROI_group_1_demo-tiff_demo_2-xml_2-1,0.0009235578289286729,0.0024978041282389114,0.004528985507246376,0.015552365326770574,0.0036029093662124164
File-loaded-ROI_group_1_demo-tiff_demo_2-xml_2-2,0.003324808184143222,0.004864700516874429,0.008771929824561401,0.0045943523083818915,0.00836120401337793
File-loaded-ROI_group_1_demo-tiff_demo_2-xml_2-3,0.004092071611253196,0.004712678625722102,0.003178235443681668,0.0052666965486329,0.011705685618729098
File-loaded-ROI_group_1_demo-tiff_demo_2-xml_2-4,0.008312020460358062,0.0033898770311813794,0.006340579710144925,0.007554006015859993,0.003339281851611508
File-loaded-ROI_group_1_demo-tiff_demo_2-xml_2-5,0.0027706734867860203,0.004817193675889328,0.0024154589371980675,0.0065171816607419554,0.003251406013411206
File-loaded-ROI_group_2_demo-tiff_demo_3-xml_3-1,0.0018471156578573455,0.0035682916117698734,0.015700483091787436,0.009923890256129796,0.003251406013411206
File-loaded-ROI_group_2_demo-tiff_demo_3-xml_3-2,0.005115089514066496,0.002736394040741866,0.005720823798627001,0.0062752129090094125,0.021739130434782608
File-loaded-ROI_group_2_demo-tiff_demo_3-xml_3-3,0.0027706734867860173,0.004817193675889328,0.01494565217391304,0.014515540971652537,0.0022847717932078736
File-loaded-ROI_group_2_demo-tiff_demo_3-xml_3-4,0.004347826086956522,0.001824262693827911,0.0041952707856598,0.003025549081129538,0.005016722408026755
File-loaded-ROI_group_2_demo-tiff_demo_3-xml_3-5,0.002813299232736573,0.0019762845849802375,0.0034324942791762003,0.005602868668758403,0.008361204013377933
File-loaded-ROI_group_2_demo-tiff_demo_4-xml_4-1,0.0028132992327365718,0.002128306476132562,0.0045766590389016,0.006723442402510085,0.008361204013377926
File-loaded-ROI_group_2_demo-tiff_demo_4-xml_4-2,0.0007672634271099747,0.003648525387655822,0.009788965166539534,0.00694755714926042,0.020066889632107034
File-loaded-ROI_group_2_demo-tiff_demo_4-xml_4-3,0.0036942313157146927,0.0033898770311813794,0.004227053140096617,0.01866283839212469,0.003954412719013628
File-loaded-ROI_group_2_demo-tiff_demo_4-xml_4-4,0.0036942313157146914,0.0016057312252964423,0.009963768115942023,0.012590010026433321,0.004745295262816353
File-loaded-ROI_group_2_demo-tiff_demo_4-xml_4-5,0.004156010230179028,0.004817193675889328,0.00951086956521739,0.01022012578616352,0.0031635301752109012
File-loaded-ROI_group_2_demo-tiff_demo_5-xml_5-1,0.0005115089514066492,0.002280328367284889,0.0013984235952199337,0.004370237561631555,0.015050167224080278
File-loaded-ROI_group_2_demo-tiff_demo_5-xml_5-2,0.0046177891446433665,0.0005352437417654809,0.004981884057971013,0.01066447908121411,0.0017575167640060572
File-loaded-ROI_group_2_demo-tiff_demo_5-xml_5-3,0.0013853367433930095,0.002497804128238912,0.005434782608695651,0.007257770485826268,0.00404228855721393
File-loaded-ROI_group_2_demo-tiff_demo_5-xml_5-4,0.0020460358056265987,0.0007601094557616295,0.008517670989066866,0.007731958762886597,0.07859531772575253
File-loaded-ROI_group_2_demo-tiff_demo_5-xml_5-5,0.00051150895140665,0.002128306476132563,0.003686753114670734,0.00291349170775437,0.021739130434782622
