Class,TP,TN,FP,FN,Precision,Recall,F1_Score,Accuracy,AUC
leaf_1,5,18,2,0,0.7142857142857143,1.0,0.8333333333333333,0.92,0.995
leaf_2,3,20,0,2,1.0,0.6,0.7499999999999999,0.92,0.925
leaf_3,5,19,1,0,0.8333333333333334,1.0,0.9090909090909091,0.96,0.985
leaf_4,4,18,2,1,0.6666666666666666,0.8,0.7272727272727272,0.88,0.9450000000000001
leaf_5,3,20,0,2,1.0,0.6,0.7499999999999999,0.92,0.995
Micro_avg,20,95,5,5,0.8,0.8,0.8,0.8,0.9646
Macro_avg,-,-,-,-,0.8428571428571429,0.8,0.793939393939394,0.9199999999999999,0.969
StandardScaler_feat_all_RandomForestClassifier model classification performance report,,,,,,,,,
