Class,TP,TN,FP,FN,Precision,Recall,F1_Score,Accuracy,AUC
leaf_1,5,18,2,0,0.7142857142857143,1.0,0.8333333333333333,0.92,0.9550000000000001
leaf_2,1,16,4,4,0.2,0.2,0.20000000000000004,0.68,0.64
leaf_3,1,12,8,4,0.1111111111111111,0.2,0.14285714285714285,0.52,0.6599999999999999
leaf_4,0,17,3,5,0.0,0.0,,0.68,0.58
leaf_5,1,20,0,4,1.0,0.2,0.33333333333333337,0.84,0.74
Micro_avg,8,83,17,17,0.32,0.32,0.32,0.32,0.7422000000000001
Macro_avg,-,-,-,-,0.40507936507936504,0.31999999999999995,0.3019047619047619,0.728,0.7150000000000001
KNeighborsClassifier model classification performance report,,,,,,,,,
